1,苹果园,古城,八角游乐城,八宝山,玉泉路,五棵松,万寿路,公主坟,军事博物馆,木樨地,南礼士路,复兴门,西单,天安门西,天安门东
,王府井,东单,建国门,永安里,国贸,大望路,四惠,四惠东,,,,,,,
2,西直门,车公庄,阜成门,复兴门,长椿街,宣武门,和平门,前门,崇文门,北京站,建国门,朝阳门,东四十条,东直门,雍和宫
,安定门,鼓楼大街,积水潭,西直门,,,,,,,,,,,
4,安和桥北,北宫门,西苑,圆明园,北京大学东门,中关村,海淀黄庄,人民大学,魏公村,国家图书馆,动物园,西直门,新街口,平安里,西四
,灵镜胡同,西单,宣武门,菜市口,陶然亭,北京南站,马家堡,角门西,公益西桥,新宫,大红门,高米店北,高米店南,枣园,清源路
,黄村西大街,黄村火车站,义和庄,生物医药基地,天宫院,,,,,,,,,,
5,,,,,,,,,,,,,,,
